Country Name,Time,Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],People using at least basic drinking water services,People using at least basic sanitation services,"Tuberculosis case detection rate (%, all forms) [SH.TBS.DTEC.ZS]",People using safely managed drinking water services
Canada,2018,10.84608173,99.22363094,98.84154159,87,98.98362609
France,2018,11.21255589,99.9999994,98.64921189,83,99.2425569
Germany,2018,11.45727539,100,99.22519294,91,99.90611558
Malaysia,2018,3.75944281,97.08076703,95.81884771,85,93.72420661
Pakistan,2018,2.82844954,90.04259791,63.66154836,62,46.50448507
Philippines,2018,3.9538188,93.22283512,80.09068945,62,46.97025902
Singapore,2018,4.07418776,100,100,87,100
Switzerland,2018,11.38538456,100,99.89987458,87,96.70000093
United Arab Emirates,2018,4.14547014,100,99.10102269,87,..
United States,2018,16.64094353,99.66759017,99.70313022,87,96.85243256
Japan,2018,10.74637508,99.0251043,99.949474,87,98.51645046
Italy,2018,8.68187714,99.91703407,99.88528605,87,93.4809564
Netherlands,2018,10.01993561,100,97.70364355,87,99.97261799
New Zealand,2018,9.0351162,100,100,87,97.14285716
Australia,2019,10.22989082,99.96985437,100,87,..
China,2019,5.3502779,95.3173719,91.28813654,88,..
Canada,2019,10.95021915,99.22165498,98.75732715,87,99.03861963
France,2019,11.09835148,100,98.64841455,83,99.37573798
Germany,2019,11.69622993,99.99999955,99.22538408,91,99.90934446
Malaysia,2019,3.83884454,97.09036742,95.88023365,85,93.77186255
Pakistan,2019,2.84736937,90.19065035,65.38993557,56,47.52388316
Philippines,2019,4.16646004,93.63735675,81.25102659,67,47.19717462
Singapore,2019,4.41523695,100,100,87,100
Switzerland,2019,11.28695965,99.99999872,99.8998724,87,96.69999877
United Arab Emirates,2019,4.29904938,100,99.09848009,87,..
United States,2019,16.67647362,99.74463092,99.68443506,87,97.0093299
Japan,2019,10.75110722,99.06231693,99.94652774,87,98.56380928
Italy,2019,8.6563549,99.91703407,99.88522401,87,93.22415679
Netherlands,2019,10.14039612,100,97.69440785,87,99.97143833
New Zealand,2019,9.48335075,100,100,87,98.12357498
Australia,2020,10.6489954,99.96981765,100,87,..
China,2020,5.59359694,95.89031366,92.85149701,77,..
Canada,2020,12.93967533,99.22180959,98.67300539,87,99.03894619
France,2020,12.20504951,99.99999807,98.64760635,83,99.50978126
Germany,2020,12.82248878,100,99.22561717,91,99.91265021
Malaysia,2020,4.12441826,97.09991057,95.93880556,77,93.81822007
Pakistan,2020,2.95390352,90.33733695,67.11104079,47,48.54683424
Philippines,2020,5.11274004,94.05123275,82.41604774,43,47.42812709
Singapore,2020,6.05388212,100,100,87,100
Switzerland,2020,11.79635048,99.9999976,99.89987134,87,96.69999768
United Arab Emirates,2020,5.67226824,100,99.09601409,87,..
United States,2020,18.81582642,99.82042152,99.66627362,87,97.16495749
Japan,2020,10.9042511,99.09952955,99.94358148,87,98.61117586
Italy,2020,9.63378334,99.91703407,99.88515873,87,92.96735717
Netherlands,2020,11.1359272,100,97.68579333,87,99.97025768
New Zealand,2020,10.02858734,100,100,87,99.10428802
Australia,2021,..,99.96977467,100,87,..
China,2021,..,96.69444916,94.3857566,75,..
Canada,2021,11.67882252,99.22198864,98.58856609,..,99.03932083
France,2021,..,100,98.64680212,82,99.64470644
Germany,2021,12.80539513,100,99.22589221,91,99.91604275
Malaysia,2021,..,97.10941679,95.99469789,65,93.86336693
Pakistan,2021,..,90.48246306,68.82426834,55,49.57296604
Philippines,2021,5.6067462,94.46428059,83.58501342,43,47.66305817
Singapore,2021,..,100,100,87,100
Switzerland,2021,..,100,99.89987389,87,96.70000007
United Arab Emirates,2021,..,100,99.09362554,87,..
United States,2021,..,99.89493841,99.64866781,87,97.31930029
Japan,2021,..,99.13674217,99.94063521,87,98.6585502
Italy,2021,9.45429516,99.91703407,99.88509676,82,92.71055756
Netherlands,2021,11.21132469,100,97.6777525,87,99.9690763
New Zealand,2021,..,99.99999623,99.99999623,87,99.99999623
Australia,2022,..,99.96973139,100,..,..
China,2022,..,97.64692955,95.89236141,..,..
Canada,2022,..,99.22218431,98.5883582,..,99.03972929
France,2022,..,100,98.64599635,..,99.70414541
Germany,2022,..,99.99999856,99.22620374,..,99.9164119
Malaysia,2022,..,97.15645919,95.9961352,..,93.94192081
Pakistan,2022,..,90.62575385,70.52881326,..,50.60177857
Philippines,2022,..,94.87631136,84.75716182,..,47.90190412
Singapore,2022,..,100,100,..,100
Switzerland,2022,..,100,99.89987583,..,96.70000186
United Arab Emirates,2022,..,100,99.09130546,..,..
United States,2022,..,99.96411284,99.63161091,..,97.46838875
Japan,2022,..,99.13674217,99.93768895,..,98.6585502
Italy,2022,..,99.91703407,99.8850365,..,92.71055756
Netherlands,2022,..,99.99999744,97.67023434,..,99.96789119
New Zealand,2022,..,100,100,..,100
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 10/26/2023,,,,,,
